Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,02KXW,1118,L4-28,VO10X0.5(B)-FALP,WITH SLIT,365,100,3
3,02KXW,1118,L4-02,VO10X0.5(B)-FALP,WITH SLIT,140,100,2
3,02KXU,1121,J2-28,VO6X0.5(B)-FALP,WITH SLIT,255,100,5
3,01PFP,1121,A5-18,RCOT5-FALP,,185,100,3
3,02KXU,1114,J3-32,VO6X0.5(B)-FALP,WITH SLIT,120,100,2
3,02KXW,1114,L5-29,VO10X0.5(B)-FALP,WITH SLIT,120,100,2
3,02KXW,1123,L5-29,VO10X0.5(B)-FALP,WITH SLIT,120,100,2
3,02KXU,1123,J3-32,VO6X0.5(B)-FALP,WITH SLIT,120,100,3
3,02KXU,Mazda J12 Initial,J5-43,VO6X0.5(B)-FALP,,205,100,2
3,02KXU,Mazda J12 Initial,J4-02,VO6X0.5(B)-FALP,,225,100,2
3,02KXU,Mazda J12 Initial,J5-31,VO6X0.5(B)-FALP,,145,100,2
3,02KXV,Mazda J12 Initial,K1-18,VO8X0.5(B)-FALP,,205,100,2
3,02KXU,1004,J3-30,VO6X0.5(B)-FALP,WITH SLIT,105,100,2
3,02KXU,1004,J3-39,VO6X0.5(B)-FALP,WITH SLIT,155,100,2
3,02KXU,1004,J3-23,VO6X0.5(B)-FALP,WITH SLIT,70,100,2
0,02KXU,1004,Special Kanban,VO6X0.5(B)-FALP,WITH SLIT,405,30,2
3,02KXU,1004,J2-27,VO6X0.5(B)-FALP,WITH SLIT,380,100,2
3,02KY0,1004,M3-20,VO16X0.6(B)-FALP,WITH SLIT,165,100,2
0,07776,1004,Special Kanban,POX8X0.4(GR),WITH SLIT,125,30,2
3,07776,1004,E4-09,POX8X0.4(GR),WITH SLIT,135,100,2
3,02KXW,1008,L4-15,VO10X0.5(B)-FALP,WITH SLIT,200,100,2
3,02KXW,1008,L4-27,VO10X0.5(B)-FALP,WITH SLIT,150,100,2
3,02KXU,1008,J3-24,VO6X0.5(B)-FALP,WITH SLIT,75,100,2
3,02KXU,1008,J3-30,VO6X0.5(B)-FALP,WITH SLIT,105,100,2
3,02KXV,1006,K1-20,VO8X0.5(B)-FALP,,185,100,2
3,02KXV,1006,K1-11,VO8X0.5(B)-FALP,,145,100,2
3,02KXW,1006,K5-02,VO10X0.5(B)-FALP,,440,100,2
3,02KXW,1006,K5-03,VO10X0.5(B)-FALP,,445,100,2
3,02KXW,1006,K5-04,VO10X0.5(B)-FALP,,460,100,2
3,02KXW,1006,K5-05,VO10X0.5(B)-FALP,,465,100,2
3,02KXU,1006,J5-18,VO6X0.5(B)-FALP,,485,100,2
3,02KXU,1110,J2-14,VO6X0.5(B)-FALP,WITH SLIT,245,100,2
