Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
0,07319,7106,Temp. Location,VO10X0.5(B),WITH SLIT,180,100,2
0,07291,7106,Temp. Location,VO8X0.5(B),WITH SLIT,180,100,2
3,07502,7106,H4-07,VO18X1(B),WITH SLIT,405,50,2
3,07515,7106,G1-21,VO20X0.6(B),WITH SLIT,310,50,2
3,07161,7106,G6-09,VO6X0.5(B),WITH SLIT,95,100,4
0,07291,7106,Temp. Location,VO8X0.5(B),WITH SLIT,495,100,2
3,01LUU,7106,O3-54,VS100FP,,155,100,2
3,07319,7106,G4-11,VO10X0.5(B),WITH SLIT,150,100,3
3,07452,7106,G2-01,VO14X0.5(B),WITH SLIT,70,100,2
0,07495,7106,Temp. Location,VO18X0.6(B),WITH SLIT,75,100,2
3,07515,7107,G1-21,VO20X0.6(B),WITH SLIT,310,50,2
0,07495,7107,Temp. Location,VO18X0.6(B),WITH SLIT,75,100,2
3,07161,7107,G6-14,VO6X0.5(B),WITH SLIT,135,100,2
3,07319,7107,G4-11,VO10X0.5(B),WITH SLIT,150,100,3
3,07502,7108,H4-07,VO18X1(B),WITH SLIT,405,50,2
3,07495,7108,G2-26,VO18X0.6(B),WITH SLIT,360,50,2
3,07291,7114,G5-26,VO8X0.5(B),WITH SLIT,475,100,3
3,07291,7114,G5-29,VO8X0.5(B),WITH SLIT,530,100,4
