Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01LUR,5111,I2-04,NCOT10-FALP,,140,100,4
0,01LUR,5111,Temp. Location,NCOT10-FALP,,155,100,4
0,01LUR,5111,Temp. Location,NCOT10-FALP,,370,100,4
0,01LUR,5111,Temp. Location,NCOT10-FALP,,815,100,4
3,01LUT,5111,H3-11,NCOT5-FALP,,65,100,4
3,01LUT,5111,H3-22,NCOT5-FALP,,190,100,4
3,01LUT,5111,H3-23,NCOT5-FALP,,210,100,4
0,01LUT,5111,Temp. Location,NCOT5-FALP,,245,100,4
3,01LUT,5111,H3-28,NCOT5-FALP,,250,100,4
3,01LUT,5111,H3-34,NCOT5-FALP,,305,100,4
0,01LUT,5111,Temp. Location,NCOT5-FALP,,565,100,3
3,01LUT,5111,H2-07,NCOT5-FALP,,925,100,4
0,01LUT,5111,Temp. Location,NCOT5-FALP,,1260,100,4
3,02KXU,5111,J5-23,VO6X0.5(B)-FALP,,105,100,4
3,02KXU,5111,J5-25,VO6X0.5(B)-FALP,,115,100,4
3,02KXU,5111,J5-29,VO6X0.5(B)-FALP,,135,100,2
3,02KXU,5111,J5-31,VO6X0.5(B)-FALP,,145,100,4
3,02KXU,5111,J5-34,VO6X0.5(B)-FALP,,160,100,4
3,02KXV,5111,J1-27,VO8X0.5(B)-FALP,,75,100,4
3,02KXW,5111,K6-11,VO10X0.5(B)-FALP,,190,100,4
3,02KXW,5111,Temp. Location,VO10X0.5(B)-FALP,,260,100,4
3,02KXX,5111,L3-12,VO12X0.5(B)-FALP,,90,100,3
3,02KXX,5111,L2-18,VO12X0.5(B)-FALP,WITH SLIT,110,100,4
3,07290,5111,E3-10,VO8X0.5(Y),,70,100,4
3,07290,5111,E3-09,VO8X0.5(Y),,110,100,4
0,23270,5111,Temp. Location,HCOT5(GR),,80,100,2
3,23270,5111,F4-07,HCOT5(GR),,85,100,2
0,23270,5111,Temp. Location,HCOT5(GR),,175,100,2
