Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
3,01PFH,3133,A3-18,RCOT10-FALP,,765,100,2
3,01PFH,3133,A3-17,RCOT10-FALP,,490,100,2
3,01S68,3133,B4-13,RCOT17-FALP,,195,100,2
3,01PFI,3133,C6-16,RCOT13-FALP,,195,100,2
3,01PFK,3133,C3-08,RCOT19-FALP,,195,100,2
3,01PFH,3134,A3-18,RCOT10-FALP,,765,100,2
3,01PFH,3134,A3-17,RCOT10-FALP,,490,100,2
3,01S68,3134,B4-13,RCOT17-FALP,,195,100,2
3,01PFI,3134,C6-16,RCOT13-FALP,,195,100,2
3,01PFK,3134,C3-08,RCOT19-FALP,,195,100,2
3,01PFH,3135,A3-18,RCOT10-FALP,,765,100,2
3,01PFH,3135,A3-17,RCOT10-FALP,,490,100,2
3,01S68,3135,B4-13,RCOT17-FALP,,195,100,2
3,01PFI,3135,C6-16,RCOT13-FALP,,195,100,2
3,01PFK,3135,C3-08,RCOT19-FALP,,195,100,2
3,01PFH,3136,A3-18,RCOT10-FALP,,765,100,2
3,01PFH,3136,A3-17,RCOT10-FALP,,490,100,2
3,01S68,3136,B4-13,RCOT17-FALP,,195,100,2
3,01PFI,3136,C6-16,RCOT13-FALP,,195,100,2
3,01PFK,3136,C3-08,RCOT19-FALP,,195,100,2
