Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban
0,01JJS,4105,Temp. Location,VSC50BS,,450,100,2
0,01JJS,4105,Special Kanban,VSC50BS,,135,30,2
0,01JJT,4105,Temp. Location,VSC70BS,,130,100,2
0,01JJT,4105,Special Kanban,VSC70BS,,135,30,2
0,01JJT,4105,Temp. Location,VSC70BS,,155,100,2
0,01JJT,4105,Temp. Location,VSC70BS,,285,100,2
0,01JJT,4105,Temp. Location,VSC70BS,,340,100,2
3,01JJU,4105,O3-18,VSC100BS,,115,100,2
3,01JJU,4105,O3-19,VSC100BS,,250,100,2
3,01PFP,4105,A5-02,RCOT5-FALP,,105,100,2
0,02KY1,4105,Temp. Location,VO18X0.6(B)-FALP,WITH SLIT,140,100,2
0,02KY1,4105,Temp. Location,VO18X0.6(B)-FALP,WITH SLIT,380,100,2
0,02KY1,4105,Temp. Location,VO18X0.6(B)-FALP,WITH SLIT,390,100,2
3,02KXU,4105,J2-10,VO6X0.5(B)-FALP,WITH SLIT,220,100,2
0,02KYA,4105,Temp. Location,VO18X1(B)-FALP,WITH SLIT,240,100,2
0,02KY0,4106,Temp. Location,VO16X0.6(B)-FALP,WITH SLIT,140,100,2
0,02KY9,4106,Temp. Location,VO16X1(B)-FALP,WITH SLIT,240,100,2
3,02KY1,4106,M1-26,VO18X0.6(B)-FALP,WITH SLIT,150,100,2
0,02KY1,4106,Temp. Location,VO18X0.6(B)-FALP,WITH SLIT,380,100,2
0,02KY1,4106,Temp. Location,VO18X0.6(B)-FALP,WITH SLIT,390,100,2
3,02KXU,4106,J2-10,VO6X0.5(B)-FALP,WITH SLIT,220,100,2
3,01JJS,4106,O3-25,VSC50BS,,175,100,2
0,01JJT,4106,Temp. Location,VSC70BS,,130,100,2
0,01JJT,4106,Temp. Location,VSC70BS,,135,100,2
0,01JJT,4106,Special Kanban,VSC70BS,,155,30,2
0,01JJT,4106,Special Kanban,VSC70BS,,285,30,2
0,01JJT,4106,Temp. Location,VSC70BS,,340,100,2
3,01JJU,4106,O3-18,VSC100BS,,115,100,2
3,01JJU,4106,O3-19,VSC100BS,,250,100,2
3,02KXW,4107,L4-25,VO10X0.5(B)-FALP,WITH SLIT,290,100,5
3,02KXU,4107,J2-03,VO6X0.5(B)-FALP,WITH SLIT,185,100,5
3,02KXW,4108,L4-24,VO10X0.5(B)-FALP,WITH SLIT,340,100,6
3,02KXW,4108,L4-03,VO10X0.5(B)-FALP,WITH SLIT,145,100,2
0,02KXW,4108,Temp. Location,VO10X0.5(B)-FALP,WITH SLIT,310,100,2
3,02KXW,4108,L5-11,VO10X0.5(B)-FALP,WITH SLIT,400,100,2
0,02KXW,4108,Temp. Location,VO10X0.5(B)-FALP,WITH SLIT,395,100,2
3,02KXW,4108,L5-05,VO10X0.5(B)-FALP,WITH SLIT,335,100,2
3,02KXU,4108,J3-36,VO6X0.5(B)-FALP,WITH SLIT,140,100,2
3,02KXU,4108,J3-37,VO6X0.5(B)-FALP,WITH SLIT,145,100,2
0,02KXX,4108,Temp. Location,VO12X0.5(B)-FALP,WITH SLIT,35,100,2
0,02KXT,4108,Temp. Location,VO4X0.5(B)-FALP,WITH SLIT,110,100,2
0,02KXT,4108,Temp. Location,VO4X0.5(B)-FALP,WITH SLIT,235,100,2
